Gandalf Index,Maximum Similarity,Closest Training Index
7443,0.1789846461739043,15305
6230,0.14707876064776904,14701
7064,0.1982928595809741,3688
4030,0.18275437650557846,2876
14022,0.18912109420832945,2202
3084,0.1818506527569197,3540
3650,0.19079330205732192,7457
15222,0.20006822438516136,3611
1014,0.10297489977779728,9240
1276,0.1536099322454496,11327
11603,0.14813970257849918,14120
5269,0.20781772368760087,11279
5341,0.1070236350973125,12448
722,0.3007218354360699,13868
3124,0.1374032200645554,3803
5988,0.17138692584467807,11167
8031,0.16006839511536464,6313
15394,0.12135070324635522,1653
8756,0.1490974089259297,3752
544,0.18084096786178394,6767
881,0.2064993382626894,6657
15975,0.17025639643734836,301
15736,0.1840367424145659,10850
8423,0.17689714154601233,12334
539,0.13987185841155592,8584
12374,0.13448919254086422,5066
10809,0.27548540173347347,6782
2488,0.17821079727078515,1389
667,0.14768602119528673,6137
2868,0.1430970562045739,15250
1665,0.22113448176313621,13776
11460,0.14181885802883454,4312
6742,0.1963977867114921,14419
9257,0.20745998838684754,2002
339,0.11411188851135812,119
12571,0.17142090012150768,6033
6980,0.16640850476781743,1324
10043,0.11660308054343804,10710
11683,0.12547701355262741,7923
7292,0.18618196485527894,2002
7065,0.1380846932139982,9032
13216,0.19697387155290413,1698
601,0.1288058379920768,6246
4537,0.12807675636099114,6504
4542,0.158932430887612,12602
10730,0.15676903764509997,5105
5051,0.15877537913785567,12671
1905,0.18768128695028263,15237
5646,0.12738708583848157,5237
14389,0.13214649138282342,10087
13391,0.17121609221386613,2042
3272,0.1841075836472611,2662
3060,0.2878298939847117,6626
2829,0.14136915062945,14162
10737,0.13880669983664606,4797
9445,0.14898661599663876,9147
4694,0.13657793651913375,5435
645,0.19671742476936394,5080
4432,0.16848970352580905,15998
10555,0.14006243856383382,13948
15376,0.17843706405554316,1293
5938,0.2839122949674109,8764
4396,0.25747334866618776,7301
11530,0.2313316411657702,11314
10972,0.19788608778903283,15976
13542,0.2206792668116937,3871
15575,0.2533791522220553,11023
2826,0.15899231117333001,12838
12166,0.20993201358450808,5005
3658,0.1189539626066567,15570
2196,0.1169998652758183,11805
7716,0.20651851570533453,6966
272,0.13502803177920109,9453
8277,0.1874955532504725,5536
13696,0.12295837255726694,8197
10841,0.2020999598692036,8579
13442,0.31670369652466546,66
8884,0.14344633860559342,4010
11755,0.20301446329382378,12310
8890,0.17557537328925887,15154
4644,0.13295137569650195,3306
14190,0.1725817481258448,12180
12348,0.6173863408661449,4233
13688,0.22724927399979444,6254
14252,0.16150624963261628,198
6556,0.21411294862127916,8717
2221,0.2072031123354463,643
5815,0.12491424303811272,2951
11616,0.27256179029593,6408
1887,0.12296712280489186,15154
10093,0.18955550973854762,12122
7712,0.21632894309380246,13787
398,0.13417066952875545,5160
6582,0.16990229871854345,12233
4382,0.1151818577742143,6306
2760,0.24393319067013275,14906
7122,0.15392818705418843,13062
1377,0.1583929444207709,9159
9263,0.15716808970117224,1536
22,0.15016778790489949,1915
2317,0.2063819117669874,12009
9804,0.21924240979605014,346
10981,0.235534662794729,8111
629,0.17038617206237716,12200
1723,0.18950957545637892,3775
9003,0.2254293776534283,10561
13032,0.11051523085441417,9946
2822,0.13028234936849492,15896
9998,0.16681145942827036,11214
